date,city,no2_trop_mean,aai_mean,cloud_frac_mean,temperature_celsius,pressure_hpa,u_wind_10m,v_wind_10m
2024-02-01,Surgut,,-0.980345434526363,0.11567134477548216,-15.140641986626974,1014.0382413818157,-0.3632820769246081,2.915825453987155
2024-02-02,Surgut,6.44651589848588e-05,-0.1966209450153566,0.15723032624288116,-15.87390604265579,1015.853761612499,-1.5507827132136827,1.933306044604454
2024-02-03,Surgut,,-0.3247798596161149,0.3181990861293809,-14.989007797290128,1010.8734368983282,-2.5924094117270857,0.23050660058979572
2024-02-04,Surgut,,-0.8467439395813509,0.2637468974318061,-16.522818048864735,1003.1400297727748,-3.616888271101878,-0.05053937736480363
2024-02-05,Surgut,6.163223368993559e-05,-0.47849565318777665,0.1955266645982812,-15.801154794377055,998.8962655650281,-1.7088648942410551,1.6253313943084098
2024-02-06,Surgut,,-2.060468447331057,0.5946841430102826,-2.5280667953267653,999.7010302464446,0.04095957563152941,3.500411863229225
2024-02-07,Surgut,,-0.3483200100665235,0.43809022712833307,-2.6237105108829155,1001.7736974126,-4.109300696534165,3.572582028602955
2024-02-08,Surgut,,0.0,,-6.701268067138528,996.4413745386139,-3.568098258261582,2.525266541347993
2024-02-09,Surgut,,-0.3778389957687775,0.5873215403916258,-7.867258495240264,984.670728081858,-3.5944130589639856,-0.45612801773609346
2024-02-10,Surgut,,-0.22999295312382118,0.5058693095841786,-11.972136531811998,983.4842682005311,3.2678863537004483,-1.9310110672273892
2024-02-11,Surgut,2.281125626856736e-05,-0.4062835107449096,0.41416238597803373,-21.58511763116809,1000.9517307265143,4.076327834513089,-2.181814221795617
2024-02-12,Surgut,3.4704717007252526e-05,-0.4290520228436955,0.2601960328009147,-25.584917401279796,1013.8268413961647,3.4201120728746894,-0.13276209996181462
2024-02-13,Surgut,0.00014544704438363982,-0.6207289210745696,0.18161403867685944,-29.456922762381453,1014.4482759110433,-1.831588182990685,-1.5631052886322754
2024-02-14,Surgut,,-0.6752917630354479,0.6896865416538519,-29.956689635294623,1010.2470861147937,-1.863527347389878,-7.0603747554101
2024-02-15,Surgut,2.5154571555653853e-05,-0.6193941488861485,0.2399320491528851,-27.223740217522703,1024.4000891217438,0.5757126297958576,-5.837857486355195
2024-02-16,Surgut,,-0.31691529146227077,0.5602307102435806,-21.620297380378673,1030.1731218574582,2.579288385600438,-4.173440771550268
2024-02-17,Surgut,8.100127745630269e-05,-0.4910058677457218,0.29618442527874,-24.45954956080965,1035.5219286307408,0.5254397506692473,-2.415816622700527
2024-02-18,Surgut,7.530957014932512e-05,-0.4014064470017262,0.11709164332066056,-26.927375492153487,1034.6800669195486,-0.4157662583444237,3.378081792230784
2024-02-19,Surgut,2.4282374525987682e-05,-0.6261226878852078,0.16819305543455348,-18.580411522603214,1025.3942337694946,2.2304417021605127,5.991577152912088
2024-02-20,Surgut,4.9945512587908985e-05,-0.5138137801329961,0.11066500445831685,-16.248463473132574,1028.1607092496897,2.6684944992698076,5.435892779523495
2024-02-21,Surgut,,-0.5322402560224155,0.21668420037171873,-18.68114066849637,1026.8586673479874,2.4658127990913377,5.060761997472711
