date,city,no2_trop_mean,aai_mean,cloud_frac_mean,temperature_celsius,pressure_hpa,u_wind_10m,v_wind_10m
2019-02-01,Surgut,3.335399219119171e-05,-0.8752132838269048,0.3586172377352215,-41.97825109085031,1038.040702082637,-2.0459771788388164,0.0241025399689929
2019-02-02,Surgut,3.3150411310820004e-05,-1.112367411314581,0.2349133082232595,-39.2451281113822,1034.768420525268,-1.990191981553964,-1.2033276380323783
2019-02-03,Surgut,3.725597531658494e-05,-1.3988866355247422,0.2691486558691515,-38.90555494082531,1037.783115017257,-0.3783800493413494,-1.4019403203683745
2019-02-04,Surgut,2.9739712476759523e-05,-1.1162659480751844,0.3714780993422895,-33.816354712435896,1038.2344604233017,0.1797969630001131,-1.9442400992100508
2019-02-05,Surgut,3.655463360526098e-05,-0.9727586722500504,0.4234033925184436,-33.52344029402158,1041.622637850112,-2.2004548855108297,-0.7144839561497017
2019-02-06,Surgut,2.848311657728149e-05,-1.005649745421643,0.3188539110743488,-36.704565965912,1041.708828787309,-2.0582110454260354,0.0232613721356313
2019-02-07,Surgut,,-0.8112018783521945,0.5721684767346131,-35.923281619883426,1039.9385039002252,-1.3978841294655118,1.2668275653095824
2019-02-08,Surgut,,-0.8701191553547332,0.7053129755705341,-28.662622974375665,1030.8832904319488,-1.427336294691241,4.284851263923074
2019-02-09,Surgut,,0.0,0.9023513605914436,-24.289176138613584,1023.3436774647178,-1.5619842093929628,3.77046383882292
2019-02-10,Surgut,3.26355214729308e-05,-0.877948482126432,0.2341542091525913,-24.022793706579023,1018.1626784486745,-0.4830648409786866,2.485640540220595
2019-02-11,Surgut,4.341296316001263e-05,-1.0907119283844828,0.2807478321382455,-21.57627919505802,1018.0461604706214,0.6015357868805989,2.8585723679364543
2019-02-12,Surgut,,-0.5496407911094439,0.6748502760461335,-12.401867330910534,1014.2982279646924,1.8427900156856167,2.782075608726477
2019-02-13,Surgut,3.0584642002922935e-05,-0.9797491513678724,0.4994030288776102,-8.148625230202754,1015.2741762666166,2.6708726545597545,2.822995008320321
2019-02-14,Surgut,,-0.4873356887249126,0.7265864505725161,-6.372309566941453,1010.2599570268294,3.589948528485244,4.638054520198561
2019-02-15,Surgut,,-0.5076981996002479,0.8218281226628152,-8.391612679692003,1002.3330778663752,1.4930330420974949,3.588435505395688
2019-02-16,Surgut,3.212748858133763e-05,-1.0280275595838326,0.2699289716852613,-9.870905860351115,999.42116360886,2.1085493058504663,1.4432542396939363
2019-02-17,Surgut,6.417451866569417e-05,-1.107570813074655,0.5137876504773408,-12.906421568282669,993.2176808494936,-0.2173453190672146,2.0706524290116084
2019-02-18,Surgut,5.222366954314418e-05,-0.961489551549734,0.3923549125707404,-12.230039973824944,993.0756874895546,-0.4617243935147553,2.362687318068983
2019-02-19,Surgut,3.594689604699455e-05,-0.7931380115541244,0.595049122985226,-11.20036429799586,996.4353759757804,0.3438598507657788,2.2546701513411964
2019-02-20,Surgut,6.909299808347466e-05,-1.0548434490693286,0.2847099723823413,-14.90762404458752,1004.1381409051806,0.225767394181499,-1.441130995869813
2019-02-21,Surgut,6.686455019450577e-05,-1.1077763077090326,0.3041464821466512,-12.310799551252671,1007.2586469130564,0.0849536254238548,2.8062907484428425
2019-02-22,Surgut,,-0.6797531680861653,0.6494307611532678,-7.519077130225071,1011.4082495452648,1.2260444461403952,2.9638744542285744
2019-02-23,Surgut,,-1.1361035808233615,0.8730868884757206,-5.0867281824324095,1007.6078243849724,1.643702427059088,3.847174232158792
2019-02-24,Surgut,5.061872622608731e-05,-0.7903502537734952,0.5071820409097147,-8.169294028184197,997.5293171804426,3.1524871893715694,2.2109605019154563
2019-02-25,Surgut,2.2994372402460564e-05,-0.7109039451241166,0.6839335920758736,-9.03330290559461,996.6816804481962,2.6675702365398,3.960904312378291
2019-02-26,Surgut,3.183190016784517e-05,-1.4437113627247835,0.3374697921159573,-7.129251302578382,996.0868330095338,1.869194194244105,4.532557472230264
