date,city,no2_trop_mean,aai_mean,cloud_frac_mean,temperature_celsius,pressure_hpa,u_wind_10m,v_wind_10m
2023-01-01,Almetyevsk,,0.0,,-3.509456203931677,989.1379154159764,-0.19507780176911754,3.1005850963047243
2023-01-02,Almetyevsk,,0.10514743372167099,0.7375227804442092,-1.2004510467869522,973.3611642207479,3.906714007879921,0.12677743200517583
2023-01-03,Almetyevsk,,-1.6290455867387366,0.6519047260284262,-4.056768634059779,982.0512027239562,3.2441063870850715,-0.17455332949261654
2023-01-04,Almetyevsk,,-0.8574358958694319,0.5855030275930787,-9.545134804047109,978.5998502021962,-0.5399901127498998,-1.29806479141926
2023-01-05,Almetyevsk,,-0.11696218861005189,0.5663442974433168,-12.261942583714415,981.474450730942,1.229626923047428,2.4207304662450917
2023-01-06,Almetyevsk,,0.0,,-16.77741410293288,978.941553834487,1.3637581258214468,-2.4963966397463255
2023-01-07,Almetyevsk,,-0.437029356540375,0.40880325135503487,-29.327176902104924,989.2289932846188,2.0204708221480114,-2.07641583951401
2023-01-08,Almetyevsk,,0.0,,-29.13081250358107,995.8737833596891,1.6977883694084341,-1.497209200170404
2023-01-09,Almetyevsk,,-0.4945470161354147,0.41812403517844676,-33.982385852077385,1010.5888341694183,1.2268111060098723,-1.6338015712438367
2023-01-10,Almetyevsk,,0.0,,-30.721985055230817,1022.2976093646652,0.9934029450951104,-0.4146925800177625
2023-01-11,Almetyevsk,,-0.46988208925934927,0.3213826168373696,-24.656387488353232,1023.5990019092144,2.2479544329139767,2.9735865356170574
2023-01-12,Almetyevsk,,-0.3358055187767457,0.0,-17.22562716315599,1017.0022341412292,3.1331521489865324,3.9816279431980464
2023-01-13,Almetyevsk,,-0.30842541043876137,0.3872603504186787,-15.999249948334295,1013.6442981102582,2.502021552525061,4.12387023069493
2023-01-14,Almetyevsk,,-0.7149322468024865,0.5385068799183083,-14.251864836359005,1013.1678970690125,2.525019897524324,3.7906569488282735
2023-01-15,Almetyevsk,,-0.4010141654254787,0.2495755029503028,-13.042656559746263,1012.5900636208279,1.6338116689151436,3.763129048527174
2023-01-16,Almetyevsk,,-0.44486358599627884,0.09293678632258115,-13.710456218353215,1010.1507466349447,0.16230054957847367,3.4745833174179834
2023-01-17,Almetyevsk,,-0.40924941923694996,0.14032262915866406,-13.948214253660922,1009.7775604065375,-0.059939342023928706,3.327552406859685
2023-01-18,Almetyevsk,,-0.40800242744977666,0.1589430567003075,-12.978222012557467,1012.257207601765,-0.08846465332700006,2.8889764951790786
